number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
82,15577.802867617276,2025-03-17 10:51:28.653489,2025-03-17 10:51:28.962637,0 days 00:00:00.309148,0.14809183854323799,10,29,300,52,PRUNED
83,15517.709206113757,2025-03-17 10:51:28.962782,2025-03-17 10:51:30.959752,0 days 00:00:01.996970,0.2991628494778578,12,49,400,36,COMPLETE
84,31058.72185775404,2025-03-17 10:51:30.960378,2025-03-17 10:51:31.034296,0 days 00:00:00.073918,0.09614466423091039,8,50,200,30,PRUNED
85,15659.879124130075,2025-03-17 10:51:31.034439,2025-03-17 10:51:32.437770,0 days 00:00:01.403331,0.11071097068708886,11,38,300,47,COMPLETE
86,51660.14246218077,2025-03-17 10:51:32.438342,2025-03-17 10:51:32.483753,0 days 00:00:00.045411,0.07154216792362768,9,27,600,38,PRUNED
87,50753.78490968407,2025-03-17 10:51:32.483881,2025-03-17 10:51:32.529037,0 days 00:00:00.045156,0.09007254151358915,14,47,1000,50,PRUNED
88,15832.400588651873,2025-03-17 10:51:32.529167,2025-03-17 10:51:33.682823,0 days 00:00:01.153656,0.1326515977996427,13,35,200,43,COMPLETE
89,51877.88394085714,2025-03-17 10:51:33.683372,2025-03-17 10:51:33.726530,0 days 00:00:00.043158,0.06750689716469352,8,46,900,22,PRUNED
90,51526.7566459002,2025-03-17 10:51:33.726659,2025-03-17 10:51:33.795698,0 days 00:00:00.069039,0.07515548096420233,7,32,100,33,PRUNED
91,15181.717781152236,2025-03-17 10:51:33.795836,2025-03-17 10:51:35.061421,0 days 00:00:01.265585,0.10446128556183207,15,34,200,37,COMPLETE
92,15001.802102857613,2025-03-17 10:51:35.061958,2025-03-17 10:51:36.362963,0 days 00:00:01.301005,0.10279965450170644,15,34,200,41,COMPLETE
93,15205.63105501609,2025-03-17 10:51:36.363513,2025-03-17 10:51:37.065711,0 days 00:00:00.702198,0.12071825834604998,15,33,100,41,COMPLETE
94,50930.12734821875,2025-03-17 10:51:37.066274,2025-03-17 10:51:37.109962,0 days 00:00:00.043688,0.08701322534195194,15,24,200,25,PRUNED
95,15347.118289538166,2025-03-17 10:51:37.110088,2025-03-17 10:51:37.307581,0 days 00:00:00.197493,0.10821790992941119,14,30,200,27,PRUNED
96,15287.797792652726,2025-03-17 10:51:37.307725,2025-03-17 10:51:37.547863,0 days 00:00:00.240138,0.1520930265837018,15,43,300,35,PRUNED
97,15450.026749606888,2025-03-17 10:51:37.548015,2025-03-17 10:51:38.248138,0 days 00:00:00.700123,0.10132943326962482,15,35,100,39,COMPLETE
98,51224.98144182107,2025-03-17 10:51:38.248652,2025-03-17 10:51:38.293928,0 days 00:00:00.045276,0.08061121370385006,14,37,200,29,PRUNED
99,52165.397121076996,2025-03-17 10:51:38.294059,2025-03-17 10:51:38.339220,0 days 00:00:00.045161,0.061416374860993134,9,48,1000,33,PRUNED
